sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP
midi\Counterpoint\test\test-tritone.mid;22;2;19;Audible tritone: framed;unresolved;3;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;22;2;363;Audible tritone: framed;on climax;3;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;22;4;410;;;3;Low;;;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;22;4;249;Parallel 5ths: < 4/4 apart;stepwize;3;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;One of intervals is approached and left by stepwize movement ;1;0;1;0
midi\Counterpoint\test\test-tritone.mid;22;5;409;;;3;Low;;;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;22;10;19;Audible tritone: framed;unresolved;3;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;22;10;363;Audible tritone: framed;on climax;3;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;22;10;12;Culmination;multi high;3;Low;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;23;0;237;Rhythm;uneven pause;3;Low;Rhythm;;Starting pause in first measure does not equal length of next note;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;23;0;270;First harmonic interval;I-III;3;Low;Counterpoint;Low-high note;;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;23;2;19;Audible tritone: framed;unresolved;3;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;23;4;249;Parallel 5ths: < 4/4 apart;stepwize;3;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;One of intervals is approached and left by stepwize movement ;1;0;1;0
midi\Counterpoint\test\test-tritone.mid;23;8;408;;;3;Low;;;;0;0;0;0
